Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,1uF,
"C2, C8, C9",0805,3,22uF,
"C3, C4, C6",0805,3,0.1uF,
C7,0805,1,33pF,
"CR1, CR2",CR_RCLAMP053_1XP6_SEM-L,2,RCLAMP0531TQTCT,
J1,SAMESKY_UJ20-C-H-G-SMT-1-P16-TR,1,UJ20-C-H-G-SMT-1-P16-TR,
J2,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
L1,IND_DFE322520FD-4R7M=P2_MUR,1,4.7uH,
"R1, R2",0805,2,5k1,
R10,0805,1,0,
"R11, R12, R3",0805,3,10k,
R5,0805,1,100k,
R6,0805,1,20,
R7,0805,1,33k,
R8,0805,1,12k7,
R9,0805,1,40k2,
U1,XCVR_ESP32-S3-WROOM-1-N4,1,ESP32-S3-WROOM-1-N4,
U2,TSOT23-8_MPS,1,MP2315GJ-Z,
U3,SOD128_STM-L,1,SM6F6.0AY,
