Designator,Mid X,Mid Y,Rotation,Layer
C1,74.75,-40.75,0.0,top
C2,66.9625,-77.0,0.0,top
C3,66.9625,-75.0,0.0,top
C4,73.5,-67.9625,90.0,top
C6,79.25,-75.4625,270.0,top
C7,72.9625,-63.75,180.0,top
C8,66.4625,-65.75,180.0,top
C9,66.4625,-63.0,180.0,top
CR1,72.9793,-80.75,180.0,top
CR2,71.5,-80.75,0.0,top
J1,72.32,-89.6,0.0,top
J2,99.08,-65.0,90.0,top
L1,67.0,-71.5141,90.0,top
R1,65.0,-84.5,180.0,top
R10,81.0,-69.0,0.0,top
R11,84.5,-58.5,270.0,top
R12,101.5,-53.5,90.0,top
R2,78.5,-83.5,90.0,top
R3,74.7125,-38.5,180.0,top
R5,71.0,-68.0,90.0,top
R6,77.0,-75.5,270.0,top
R7,77.0,-71.0,180.0,top
R8,81.0,-71.0,180.0,top
R9,77.0,-69.0,180.0,top
U1,90.25,-42.56,0.0,top
U2,72.35255,-72.974999,0.0,top
U3,72.0,-77.0,0.0,top
